no_of_nodes 128
FatTree topology input file: ../../topologies/topo_assignment2/fat_tree_128_4os.topo
traffic matrix input file: ../../connection_matrices/cm_assignment2/one.cm
sender based algo dctcp
Load balancing algorithm set to  reps
queue_type 10
Setting queuesize to 100 packets 
no of paths 200
cwnd 1
endtime(us) 1000
random seed 0
Packet size (MTU) is 1500
Parsed args
Logging to logout.dat
Linkspeed set to 100Gbps
Loading connection matrix from  ../../connection_matrices/cm_assignment2/one.cm
Nodes: 128 Connections: 1 Triggers: 0 Failures: 0
Topology load done
Fat Tree topology (0) with 1us Src-ToR links, 1us ToR-Agg links, 1us Agg-Core links, 0us ToR switch latency, 0us Agg switch latency, 0us Core switch latency.
 for 6us diameter latency.
no_of_tor_uplinks: 128
no_of_agg_uplinks: 128
No of nodes: 128
No of pods: 8
Hosts per pod: 16
Hosts per pod: 16
ToR switches per pod: 4
Agg switches per pod: 4
No of core switches: 16
FatTreeCfg constructor done.
Tier 0 QueueSize Down 150000 bytes
Tier 0 QueueSize Up 150000 bytes
Tier 1 QueueSize Down 150000 bytes
Tier 1 QueueSize Up 150000 bytes
Tier 2 QueueSize Down 150000 bytes
Setting min RTO to 87
Setting ECN to parameters low 30000 high 120000 enable on tor downlink 1
466.966 DCTCP start Uec_0_16 cwnd 46291 with params skip 0 acked bytes 16500
467.926 DCTCP start Uec_0_16 cwnd 46825 with params skip 0 acked bytes 9000
479.988 DCTCP start Uec_0_16 cwnd 47113 with params skip 0 acked bytes 16500
480.228 DCTCP start Uec_0_16 cwnd 47638 with params skip 0 acked bytes 3000
481.788 DCTCP start Uec_0_16 cwnd 47732 with params skip 0 acked bytes 16500
482.508 DCTCP start Uec_0_16 cwnd 48250 with params skip 0 acked bytes 9000
482.628 DCTCP start Uec_0_16 cwnd 48529 with params skip 0 acked bytes 1500
494.809 DCTCP start Uec_0_16 cwnd 48575 with params skip 0 acked bytes 16500
495.049 DCTCP start Uec_0_16 cwnd 49084 with params skip 0 acked bytes 3000
496.609 DCTCP start Uec_0_16 cwnd 49175 with params skip 0 acked bytes 16500
497.569 DCTCP start Uec_0_16 cwnd 49678 with params skip 0 acked bytes 12000
509.75 DCTCP start Uec_0_16 cwnd 50040 with params skip 0 acked bytes 16500
510.11 DCTCP start Uec_0_16 cwnd 50534 with params skip 0 acked bytes 3000
511.43 DCTCP start Uec_0_16 cwnd 50623 with params skip 0 acked bytes 16500
512.99 DCTCP start Uec_0_16 cwnd 51111 with params skip 0 acked bytes 13500
524.572 DCTCP start Uec_0_16 cwnd 51507 with params skip 0 acked bytes 16500
524.812 DCTCP start Uec_0_16 cwnd 51987 with params skip 0 acked bytes 3000
526.252 DCTCP start Uec_0_16 cwnd 52073 with params skip 0 acked bytes 16500
526.372 DCTCP start Uec_0_16 cwnd 52548 with params skip 0 acked bytes 1500
527.812 DCTCP start Uec_0_16 cwnd 52590 with params skip 0 acked bytes 13500
539.513 DCTCP start Uec_0_16 cwnd 52975 with params skip 0 acked bytes 16500
539.753 DCTCP start Uec_0_16 cwnd 53442 with params skip 0 acked bytes 3000
541.073 DCTCP start Uec_0_16 cwnd 53526 with params skip 0 acked bytes 16500
541.193 DCTCP start Uec_0_16 cwnd 53988 with params skip 0 acked bytes 1500
541.313 DCTCP start Uec_0_16 cwnd 54029 with params skip 0 acked bytes 1500
542.513 DCTCP start Uec_0_16 cwnd 54070 with params skip 0 acked bytes 13500
554.455 DCTCP start Uec_0_16 cwnd 54444 with params skip 0 acked bytes 16500
555.055 DCTCP start Uec_0_16 cwnd 54898 with params skip 0 acked bytes 7500
556.375 DCTCP start Uec_0_16 cwnd 55102 with params skip 0 acked bytes 16500
557.455 DCTCP start Uec_0_16 cwnd 55551 with params skip 0 acked bytes 12000
557.575 DCTCP start Uec_0_16 cwnd 55875 with params skip 0 acked bytes 1500
569.276 DCTCP start Uec_0_16 cwnd 55915 with params skip 0 acked bytes 16500
569.876 DCTCP start Uec_0_16 cwnd 56357 with params skip 0 acked bytes 7500
571.196 DCTCP start Uec_0_16 cwnd 56556 with params skip 0 acked bytes 16500
572.276 DCTCP start Uec_0_16 cwnd 56993 with params skip 0 acked bytes 12000
572.516 DCTCP start Uec_0_16 cwnd 57308 with params skip 0 acked bytes 3000
584.098 DCTCP start Uec_0_16 cwnd 57386 with params skip 0 acked bytes 16500
584.698 DCTCP start Uec_0_16 cwnd 57817 with params skip 0 acked bytes 7500
586.018 DCTCP start Uec_0_16 cwnd 58011 with params skip 0 acked bytes 16500
587.578 DCTCP start Uec_0_16 cwnd 58437 with params skip 0 acked bytes 16500
598.919 DCTCP start Uec_0_16 cwnd 58860 with params skip 0 acked bytes 16500
599.519 DCTCP start Uec_0_16 cwnd 59280 with params skip 0 acked bytes 7500
600.959 DCTCP start Uec_0_16 cwnd 59469 with params skip 0 acked bytes 16500
602.399 DCTCP start Uec_0_16 cwnd 59885 with params skip 0 acked bytes 16500
602.519 DCTCP start Uec_0_16 cwnd 60298 with params skip 0 acked bytes 1500
613.74 DCTCP start Uec_0_16 cwnd 60335 with params skip 0 acked bytes 16500
614.34 DCTCP start Uec_0_16 cwnd 60745 with params skip 0 acked bytes 7500
615.78 DCTCP start Uec_0_16 cwnd 60930 with params skip 0 acked bytes 16500
617.34 DCTCP start Uec_0_16 cwnd 61336 with params skip 0 acked bytes 16500
617.46 DCTCP start Uec_0_16 cwnd 61739 with params skip 0 acked bytes 1500
617.82 DCTCP start Uec_0_16 cwnd 61775 with params skip 0 acked bytes 1500
628.442 DCTCP start Uec_0_16 cwnd 61811 with params skip 0 acked bytes 16500
629.162 DCTCP start Uec_0_16 cwnd 62211 with params skip 0 acked bytes 7500
630.722 DCTCP start Uec_0_16 cwnd 62391 with params skip 0 acked bytes 16500
632.162 DCTCP start Uec_0_16 cwnd 62787 with params skip 0 acked bytes 16500
632.402 DCTCP start Uec_0_16 cwnd 63181 with params skip 0 acked bytes 3000
632.522 DCTCP start Uec_0_16 cwnd 63252 with params skip 0 acked bytes 1500
643.383 DCTCP start Uec_0_16 cwnd 63287 with params skip 0 acked bytes 16500
643.863 DCTCP start Uec_0_16 cwnd 63678 with params skip 0 acked bytes 6000
643.983 DCTCP start Uec_0_16 cwnd 63819 with params skip 0 acked bytes 1500
645.423 DCTCP start Uec_0_16 cwnd 63854 with params skip 0 acked bytes 15000
645.543 DCTCP start Uec_0_16 cwnd 64206 with params skip 0 acked bytes 1500
646.863 DCTCP start Uec_0_16 cwnd 64241 with params skip 0 acked bytes 16500
647.583 DCTCP start Uec_0_16 cwnd 64626 with params skip 0 acked bytes 6000
658.445 DCTCP start Uec_0_16 cwnd 64765 with params skip 0 acked bytes 16500
658.925 DCTCP start Uec_0_16 cwnd 65147 with params skip 0 acked bytes 6000
659.045 DCTCP start Uec_0_16 cwnd 65285 with params skip 0 acked bytes 1500
660.365 DCTCP start Uec_0_16 cwnd 65319 with params skip 0 acked bytes 16500
661.685 DCTCP start Uec_0_16 cwnd 65697 with params skip 0 acked bytes 16500
662.405 DCTCP start Uec_0_16 cwnd 66073 with params skip 0 acked bytes 7500
673.146 DCTCP start Uec_0_16 cwnd 66243 with params skip 0 acked bytes 16500
673.746 DCTCP start Uec_0_16 cwnd 66616 with params skip 0 acked bytes 7500
675.066 DCTCP start Uec_0_16 cwnd 66784 with params skip 0 acked bytes 13500
675.306 DCTCP start Uec_0_16 cwnd 67087 with params skip 0 acked bytes 3000
676.626 DCTCP start Uec_0_16 cwnd 67154 with params skip 0 acked bytes 16500
677.346 DCTCP start Uec_0_16 cwnd 67522 with params skip 0 acked bytes 9000
687.968 DCTCP start Uec_0_16 cwnd 67721 with params skip 0 acked bytes 16500
688.568 DCTCP start Uec_0_16 cwnd 68086 with params skip 0 acked bytes 7500
689.888 DCTCP start Uec_0_16 cwnd 68251 with params skip 0 acked bytes 16500
691.448 DCTCP start Uec_0_16 cwnd 68613 with params skip 0 acked bytes 16500
692.288 DCTCP start Uec_0_16 cwnd 68973 with params skip 0 acked bytes 10500
702.669 DCTCP start Uec_0_16 cwnd 69201 with params skip 0 acked bytes 16500
703.269 DCTCP start Uec_0_16 cwnd 69558 with params skip 0 acked bytes 6000
703.509 DCTCP start Uec_0_16 cwnd 69687 with params skip 0 acked bytes 3000
704.709 DCTCP start Uec_0_16 cwnd 69751 with params skip 0 acked bytes 15000
706.269 DCTCP start Uec_0_16 cwnd 70073 with params skip 0 acked bytes 16500
707.469 DCTCP start Uec_0_16 cwnd 70426 with params skip 0 acked bytes 12000
717.491 DCTCP start Uec_0_16 cwnd 70681 with params skip 0 acked bytes 16500
718.211 DCTCP start Uec_0_16 cwnd 71031 with params skip 0 acked bytes 9000
719.651 DCTCP start Uec_0_16 cwnd 71221 with params skip 0 acked bytes 15000
721.211 DCTCP start Uec_0_16 cwnd 71536 with params skip 0 acked bytes 16500
722.291 DCTCP start Uec_0_16 cwnd 71881 with params skip 0 acked bytes 13500
732.312 DCTCP start Uec_0_16 cwnd 72162 with params skip 0 acked bytes 16500
733.032 DCTCP start Uec_0_16 cwnd 72504 with params skip 0 acked bytes 9000
734.472 DCTCP start Uec_0_16 cwnd 72690 with params skip 0 acked bytes 15000
736.032 DCTCP start Uec_0_16 cwnd 72999 with params skip 0 acked bytes 16500
737.112 DCTCP start Uec_0_16 cwnd 73338 with params skip 0 acked bytes 13500
737.352 DCTCP start Uec_0_16 cwnd 73614 with params skip 0 acked bytes 1500
747.013 DCTCP start Uec_0_16 cwnd 73644 with params skip 0 acked bytes 16500
747.733 DCTCP start Uec_0_16 cwnd 73980 with params skip 0 acked bytes 9000
749.173 DCTCP start Uec_0_16 cwnd 74162 with params skip 0 acked bytes 15000
750.853 DCTCP start Uec_0_16 cwnd 74465 with params skip 0 acked bytes 16500
752.173 DCTCP start Uec_0_16 cwnd 74797 with params skip 0 acked bytes 16500
761.835 DCTCP start Uec_0_16 cwnd 75127 with params skip 0 acked bytes 16500
762.555 DCTCP start Uec_0_16 cwnd 75456 with params skip 0 acked bytes 9000
763.755 DCTCP start Uec_0_16 cwnd 75634 with params skip 0 acked bytes 15000
765.675 DCTCP start Uec_0_16 cwnd 75931 with params skip 0 acked bytes 16500
766.995 DCTCP start Uec_0_16 cwnd 76256 with params skip 0 acked bytes 16500
767.115 DCTCP start Uec_0_16 cwnd 76580 with params skip 0 acked bytes 1500
776.656 DCTCP start Uec_0_16 cwnd 76609 with params skip 0 acked bytes 16500
778.096 DCTCP start Uec_0_16 cwnd 76932 with params skip 0 acked bytes 16500
778.696 DCTCP start Uec_0_16 cwnd 77253 with params skip 0 acked bytes 7500
780.376 DCTCP start Uec_0_16 cwnd 77398 with params skip 0 acked bytes 15000
780.616 DCTCP start Uec_0_16 cwnd 77688 with params skip 0 acked bytes 3000
781.936 DCTCP start Uec_0_16 cwnd 77745 with params skip 0 acked bytes 16500
782.056 DCTCP start Uec_0_16 cwnd 78063 with params skip 0 acked bytes 1500
791.358 DCTCP start Uec_0_16 cwnd 78091 with params skip 0 acked bytes 13500
791.598 DCTCP start Uec_0_16 cwnd 78350 with params skip 0 acked bytes 3000
793.038 DCTCP start Uec_0_16 cwnd 78407 with params skip 0 acked bytes 16500
793.398 DCTCP start Uec_0_16 cwnd 78722 with params skip 0 acked bytes 4500
793.998 DCTCP start Uec_0_16 cwnd 78807 with params skip 0 acked bytes 4500
795.318 DCTCP start Uec_0_16 cwnd 78892 with params skip 0 acked bytes 16500
796.758 DCTCP start Uec_0_16 cwnd 79205 with params skip 0 acked bytes 16500
796.878 DCTCP start Uec_0_16 cwnd 79517 with params skip 0 acked bytes 1500
797.118 DCTCP start Uec_0_16 cwnd 79545 with params skip 0 acked bytes 1500
806.059 DCTCP start Uec_0_16 cwnd 79573 with params skip 0 acked bytes 16500
807.859 DCTCP start Uec_0_16 cwnd 79884 with params skip 0 acked bytes 16500
808.459 DCTCP start Uec_0_16 cwnd 80193 with params skip 0 acked bytes 7500
808.579 DCTCP start Uec_0_16 cwnd 80333 with params skip 0 acked bytes 1500
810.139 DCTCP start Uec_0_16 cwnd 80361 with params skip 0 acked bytes 16500
811.579 DCTCP start Uec_0_16 cwnd 80668 with params skip 0 acked bytes 16500
811.939 DCTCP start Uec_0_16 cwnd 80974 with params skip 0 acked bytes 4500
820.761 DCTCP start Uec_0_16 cwnd 81057 with params skip 0 acked bytes 16500
822.681 DCTCP start Uec_0_16 cwnd 81362 with params skip 0 acked bytes 16500
823.401 DCTCP start Uec_0_16 cwnd 81666 with params skip 0 acked bytes 9000
824.961 DCTCP start Uec_0_16 cwnd 81831 with params skip 0 acked bytes 16500
826.401 DCTCP start Uec_0_16 cwnd 82133 with params skip 0 acked bytes 16500
826.881 DCTCP start Uec_0_16 cwnd 82434 with params skip 0 acked bytes 4500
827.001 DCTCP start Uec_0_16 cwnd 82515 with params skip 0 acked bytes 1500
835.582 DCTCP start Uec_0_16 cwnd 82542 with params skip 0 acked bytes 16500
837.502 DCTCP start Uec_0_16 cwnd 82841 with params skip 0 acked bytes 16500
838.102 DCTCP start Uec_0_16 cwnd 83139 with params skip 0 acked bytes 7500
838.222 DCTCP start Uec_0_16 cwnd 83274 with params skip 0 acked bytes 1500
839.662 DCTCP start Uec_0_16 cwnd 83301 with params skip 0 acked bytes 15000
839.782 DCTCP start Uec_0_16 cwnd 83571 with params skip 0 acked bytes 1500
841.222 DCTCP start Uec_0_16 cwnd 83597 with params skip 0 acked bytes 16500
841.702 DCTCP start Uec_0_16 cwnd 83893 with params skip 0 acked bytes 6000
841.822 DCTCP start Uec_0_16 cwnd 84000 with params skip 0 acked bytes 1500
850.404 DCTCP start Uec_0_16 cwnd 84026 with params skip 0 acked bytes 16500
852.324 DCTCP start Uec_0_16 cwnd 84320 with params skip 0 acked bytes 16500
852.924 DCTCP start Uec_0_16 cwnd 84613 with params skip 0 acked bytes 7500
853.284 DCTCP start Uec_0_16 cwnd 84745 with params skip 0 acked bytes 3000
854.484 DCTCP start Uec_0_16 cwnd 84798 with params skip 0 acked bytes 15000
856.044 DCTCP start Uec_0_16 cwnd 85063 with params skip 0 acked bytes 16500
856.764 DCTCP start Uec_0_16 cwnd 85353 with params skip 0 acked bytes 9000
865.225 DCTCP start Uec_0_16 cwnd 85511 with params skip 0 acked bytes 13500
865.585 DCTCP start Uec_0_16 cwnd 85747 with params skip 0 acked bytes 3000
867.145 DCTCP start Uec_0_16 cwnd 85799 with params skip 0 acked bytes 16500
867.865 DCTCP start Uec_0_16 cwnd 86087 with params skip 0 acked bytes 7500
868.465 DCTCP start Uec_0_16 cwnd 86217 with params skip 0 acked bytes 7500
869.305 DCTCP start Uec_0_16 cwnd 86347 with params skip 0 acked bytes 10500
870.865 DCTCP start Uec_0_16 cwnd 86529 with params skip 0 acked bytes 16500
871.585 DCTCP start Uec_0_16 cwnd 86815 with params skip 0 acked bytes 9000
871.705 DCTCP start Uec_0_16 cwnd 86970 with params skip 0 acked bytes 1500
880.046 DCTCP start Uec_0_16 cwnd 86995 with params skip 0 acked bytes 16500
881.846 DCTCP start Uec_0_16 cwnd 87279 with params skip 0 acked bytes 16500
883.406 DCTCP start Uec_0_16 cwnd 87562 with params skip 0 acked bytes 16500
884.126 DCTCP start Uec_0_16 cwnd 87844 with params skip 0 acked bytes 9000
885.686 DCTCP start Uec_0_16 cwnd 87997 with params skip 0 acked bytes 16500
886.406 DCTCP start Uec_0_16 cwnd 88278 with params skip 0 acked bytes 9000
886.526 DCTCP start Uec_0_16 cwnd 88430 with params skip 0 acked bytes 1500
894.868 DCTCP start Uec_0_16 cwnd 88455 with params skip 0 acked bytes 16500
894.988 DCTCP start Uec_0_16 cwnd 88734 with params skip 0 acked bytes 1500
896.788 DCTCP start Uec_0_16 cwnd 88759 with params skip 0 acked bytes 16500
898.228 DCTCP start Uec_0_16 cwnd 89037 with params skip 0 acked bytes 16500
898.948 DCTCP start Uec_0_16 cwnd 89314 with params skip 0 acked bytes 9000
900.508 DCTCP start Uec_0_16 cwnd 89465 with params skip 0 acked bytes 16500
901.348 DCTCP start Uec_0_16 cwnd 89741 with params skip 0 acked bytes 10500
909.809 DCTCP start Uec_0_16 cwnd 89916 with params skip 0 acked bytes 16500
909.929 DCTCP start Uec_0_16 cwnd 90191 with params skip 0 acked bytes 1500
910.049 DCTCP start Uec_0_16 cwnd 90215 with params skip 0 acked bytes 1500
911.969 DCTCP start Uec_0_16 cwnd 90239 with params skip 0 acked bytes 16500
912.569 DCTCP start Uec_0_16 cwnd 90513 with params skip 0 acked bytes 7500
913.889 DCTCP start Uec_0_16 cwnd 90637 with params skip 0 acked bytes 16500
914.009 DCTCP start Uec_0_16 cwnd 90910 with params skip 0 acked bytes 1500
915.329 DCTCP start Uec_0_16 cwnd 90934 with params skip 0 acked bytes 16500
916.769 DCTCP start Uec_0_16 cwnd 91206 with params skip 0 acked bytes 10500
924.631 DCTCP start Uec_0_16 cwnd 91378 with params skip 0 acked bytes 16500
924.991 DCTCP start Uec_0_16 cwnd 91648 with params skip 0 acked bytes 4500
926.791 DCTCP start Uec_0_16 cwnd 91721 with params skip 0 acked bytes 16500
927.751 DCTCP start Uec_0_16 cwnd 91990 with params skip 0 acked bytes 12000
928.831 DCTCP start Uec_0_16 cwnd 92185 with params skip 0 acked bytes 13500
930.151 DCTCP start Uec_0_16 cwnd 92404 with params skip 0 acked bytes 15000
930.391 DCTCP start Uec_0_16 cwnd 92647 with params skip 0 acked bytes 3000
931.111 DCTCP start Uec_0_16 cwnd 92695 with params skip 0 acked bytes 9000
939.572 DCTCP start Uec_0_16 cwnd 92840 with params skip 0 acked bytes 16500
939.932 DCTCP start Uec_0_16 cwnd 93106 with params skip 0 acked bytes 4500
940.052 DCTCP start Uec_0_16 cwnd 93178 with params skip 0 acked bytes 1500
941.492 DCTCP start Uec_0_16 cwnd 93202 with params skip 0 acked bytes 16500
942.932 DCTCP start Uec_0_16 cwnd 93467 with params skip 0 acked bytes 16500
943.892 DCTCP start Uec_0_16 cwnd 93731 with params skip 0 acked bytes 12000
945.332 DCTCP start Uec_0_16 cwnd 93923 with params skip 0 acked bytes 16500
945.932 DCTCP start Uec_0_16 cwnd 94186 with params skip 0 acked bytes 7500
954.394 DCTCP start Uec_0_16 cwnd 94305 with params skip 0 acked bytes 16500
954.994 DCTCP start Uec_0_16 cwnd 94567 with params skip 0 acked bytes 7500
956.194 DCTCP start Uec_0_16 cwnd 94685 with params skip 0 acked bytes 15000
956.314 DCTCP start Uec_0_16 cwnd 94922 with params skip 0 acked bytes 1500
957.874 DCTCP start Uec_0_16 cwnd 94945 with params skip 0 acked bytes 16500
958.834 DCTCP start Uec_0_16 cwnd 95205 with params skip 0 acked bytes 12000
960.154 DCTCP start Uec_0_16 cwnd 95394 with params skip 0 acked bytes 16500
960.754 DCTCP start Uec_0_16 cwnd 95653 with params skip 0 acked bytes 7500
